Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
      0.01153050516937834     V_Activity[2017,fall,18,DIST,2017]
      0.010564330555632275    V_Activity[2017,fall,18,EC_SOLPV,2017]
      0.002362278627394866    V_Activity[2017,fall,18,ED_BATT,2017]
      0.00010564330555632275  V_Activity[2017,fall,18,ED_SOLPV,2017]
      0.029739581307122967    V_Activity[2017,fall,18,IMPSOLAR,2017]
      0.01153050516937834     V_Activity[2017,fall,18,LOCAL,2017]
      0.009930470722294337    V_Activity[2017,fall,18,TRANS,2017]
      0.011368795435626364    V_Activity[2017,fall,19,DIST,2017]
      0.000705238193040048    V_Activity[2017,fall,19,EC_SOLPV,2017]
      0.011554534937715572    V_Activity[2017,fall,19,ED_BATT,2017]
      7.05238193040048e-06    V_Activity[2017,fall,19,ED_SOLPV,2017]
      0.001985311655325019    V_Activity[2017,fall,19,IMPSOLAR,2017]
      0.011368795435626364    V_Activity[2017,fall,19,LOCAL,2017]
      0.0006629239014576451   V_Activity[2017,fall,19,TRANS,2017]
      0.01124846371479819     V_Activity[2017,fall,20,DIST,2017]
      0.00016121885410631172  V_Activity[2017,fall,20,EC_SOLPV,2017]
      0.011941964362575552    V_Activity[2017,fall,20,ED_BATT,2017]
      1.6121885410631171e-06  V_Activity[2017,fall,20,ED_SOLPV,2017]
      0.00045384619448315787  V_Activity[2017,fall,20,IMPSOLAR,2017]
      0.01124846371479819     V_Activity[2017,fall,20,LOCAL,2017]
      0.00015154572285993302  V_Activity[2017,fall,20,TRANS,2017]
      0.0110337035227888      V_Activity[2017,fall,21,DIST,2017]
      0.00014469042258474424  V_Activity[2017,fall,21,EC_SOLPV,2017]
      0.011726741434876536    V_Activity[2017,fall,21,ED_BATT,2017]
      1.4469042258474425e-06  V_Activity[2017,fall,21,ED_SOLPV,2017]
      0.0004073171096039645   V_Activity[2017,fall,21,IMPSOLAR,2017]
      0.0110337035227888      V_Activity[2017,fall,21,LOCAL,2017]
      0.00013600899722965957  V_Activity[2017,fall,21,TRANS,2017]
      0.010645416144473353    V_Activity[2017,fall,22,DIST,2017]
      8.628698795985723e-05   V_Activity[2017,fall,22,EC_SOLPV,2017]
      0.011364711387753568    V_Activity[2017,fall,22,ED_BATT,2017]
      8.628698795985723e-07   V_Activity[2017,fall,22,ED_SOLPV,2017]
      0.00024290596367327802  V_Activity[2017,fall,22,IMPSOLAR,2017]
      0.010645416144473353    V_Activity[2017,fall,22,LOCAL,2017]
      8.110976868226579e-05   V_Activity[2017,fall,22,TRANS,2017]
      0.010252805318267673    V_Activity[2017,fall,23,DIST,2017]
      5.029512404717789e-05   V_Activity[2017,fall,23,EC_SOLPV,2017]
      0.010976741479754828    V_Activity[2017,fall,23,ED_BATT,2017]
      5.029512404717789e-07   V_Activity[2017,fall,23,ED_SOLPV,2017]
      0.0001415854912032674   V_Activity[2017,fall,23,IMPSOLAR,2017]
      0.010252805318267673    V_Activity[2017,fall,23,LOCAL,2017]
      4.727741660434721e-05   V_Activity[2017,fall,23,TRANS,2017]
      0.009534066138646453    V_Activity[2017,spring,0,DIST,2017]
      0.0006914881774979764   V_Activity[2017,spring,0,EC_SOLPV,2017]
      0.009594770251426871    V_Activity[2017,spring,0,ED_BATT,2017]
      6.914881774979764e-06   V_Activity[2017,spring,0,ED_SOLPV,2017]
      0.0019466040720063928   V_Activity[2017,spring,0,IMPSOLAR,2017]
      0.009534066138646453    V_Activity[2017,spring,0,LOCAL,2017]
      0.0006499988868480977   V_Activity[2017,spring,0,TRANS,2017]
      0.009368872657683009    V_Activity[2017,spring,1,DIST,2017]
      0.000524784233093529    V_Activity[2017,spring,1,EC_SOLPV,2017]
      0.009575511599725674    V_Activity[2017,spring,1,ED_BATT,2017]
      5.24784233093529e-06    V_Activity[2017,spring,1,ED_SOLPV,2017]
      0.0014773168339058192   V_Activity[2017,spring,1,IMPSOLAR,2017]
      0.009368872657683009    V_Activity[2017,spring,1,LOCAL,2017]
      0.0004932971791079173   V_Activity[2017,spring,1,TRANS,2017]
      0.009284459822241659    V_Activity[2017,spring,2,DIST,2017]
      0.00038430858292263847  V_Activity[2017,spring,2,EC_SOLPV,2017]
      0.009618196977666138    V_Activity[2017,spring,2,ED_BATT,2017]
      3.843085829226385e-06   V_Activity[2017,spring,2,ED_SOLPV,2017]
      0.0010818647039361766   V_Activity[2017,spring,2,IMPSOLAR,2017]
      0.009284459822241659    V_Activity[2017,spring,2,LOCAL,2017]
      0.00036125006794728015  V_Activity[2017,spring,2,TRANS,2017]
      0.009238089345794705    V_Activity[2017,spring,3,DIST,2017]
      0.00020733752555121315  V_Activity[2017,spring,3,EC_SOLPV,2017]
      0.009736458754806675    V_Activity[2017,spring,3,ED_BATT,2017]
      2.0733752555121314e-06  V_Activity[2017,spring,3,ED_SOLPV,2017]
      0.0005836745799155795   V_Activity[2017,spring,3,IMPSOLAR,2017]
      0.009238089345794705    V_Activity[2017,spring,3,LOCAL,2017]
      0.00019489727401814035  V_Activity[2017,spring,3,TRANS,2017]
      0.009286423091170682    V_Activity[2017,spring,4,DIST,2017]
      0.0001117331755282787   V_Activity[2017,spring,4,EC_SOLPV,2017]
      0.009879254656549943    V_Activity[2017,spring,4,ED_BATT,2017]
      1.117331755282787e-06   V_Activity[2017,spring,4,ED_SOLPV,2017]
      0.0003145393681907004   V_Activity[2017,spring,4,IMPSOLAR,2017]
      0.009286423091170682    V_Activity[2017,spring,4,LOCAL,2017]
      0.00010502918499658198  V_Activity[2017,spring,4,TRANS,2017]
      0.009627616674350229    V_Activity[2017,spring,5,DIST,2017]
      0.0001003952271405308   V_Activity[2017,spring,5,EC_SOLPV,2017]
      0.010256900528141473    V_Activity[2017,spring,5,ED_BATT,2017]
      1.003952271405308e-06   V_Activity[2017,spring,5,ED_SOLPV,2017]
      0.00028262198013115835  V_Activity[2017,spring,5,IMPSOLAR,2017]
      0.009627616674350229    V_Activity[2017,spring,5,LOCAL,2017]
      9.437151351209894e-05   V_Activity[2017,spring,5,TRANS,2017]
      0.010124886860632806    V_Activity[2017,spring,6,DIST,2017]
      0.00042968694701925087  V_Activity[2017,spring,6,EC_SOLPV,2017]
      0.010478772519291716    V_Activity[2017,spring,6,ED_BATT,2017]
